# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 298
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 27671079937
#
# Overhead  Command          Shared Object                Symbol                                                   
# ........  ...............  ...........................  .........................................................
#
     0.18%  iperf3           [kernel.kallsyms]            [k] entry_SYSCALL_64
     0.18%  iperf3           [kernel.kallsyms]            [k] napi_gro_receive
     0.18%  iperf3           [kernel.kallsyms]            [k] __build_skb_around
     0.17%  iperf3           [kernel.kallsyms]            [k] __netif_receive_skb_core
     0.17%  iperf3           [kernel.kallsyms]            [k] free_unref_page_commit
     0.17%  iperf3           [kernel.kallsyms]            [k] __list_add_valid
     0.17%  iperf3           libiperf.so.0.0.0            [.] iperf_recv
     0.17%  iperf3           [kernel.kallsyms]            [k] consume_skb
     0.16%  iperf3           [kernel.kallsyms]            [k] skb_put
     0.16%  iperf3           [kernel.kallsyms]            [k] ip6table_mangle_hook
     0.16%  iperf3           [kernel.kallsyms]            [k] selinux_ip_postroute
     0.16%  iperf3           [kernel.kallsyms]            [k] percpu_array_map_lookup_elem
     0.16%  iperf3           [kernel.kallsyms]            [k] _raw_spin_lock
     0.15%  iperf3           [kernel.kallsyms]            [k] native_sched_clock
     0.15%  iperf3           [kernel.kallsyms]            [k] enqueue_timer
     0.15%  iperf3           [kernel.kallsyms]            [k] nf_hook_slow
     0.15%  iperf3           [kernel.kallsyms]            [k] _raw_spin_unlock_irqrestore
     0.14%  iperf3           [kernel.kallsyms]            [k] selinux_file_permission
     0.14%  iperf3           [kernel.kallsyms]            [k] __fget_light
     0.14%  iperf3           [kernel.kallsyms]            [k] __softirqentry_text_start
     0.14%  iperf3           [kernel.kallsyms]            [k] __free_pages_ok
     0.14%  iperf3           [kernel.kallsyms]            [k] nf_conntrack_in
     0.13%  iperf3           [kernel.kallsyms]            [k] try_to_wake_up
     0.13%  iperf3           [kernel.kallsyms]            [k] __put_page
     0.13%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee5b7
     0.13%  iperf3           [kernel.kallsyms]            [k] sock_poll
     0.13%  iperf3           [kernel.kallsyms]            [k] conntrack_mt
     0.13%  firefox          libxul.so                    [.] 0x000000000421acb9
     0.13%  iperf3           [kernel.kallsyms]            [k] tcp_send_delayed_ack
