# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 223
#
# Samples: 27K of event 'cycles'
# Event count (approx.): 25727937029
#
# Overhead  Command          Shared Object                            Symbol                                                   
# ........  ...............  .......................................  .........................................................
#
     0.23%  iperf3           [kernel.kallsyms]                        [k] fib6_rule_lookup
     0.23%  ksoftirqd/2      [kernel.kallsyms]                        [k] kmem_cache_alloc
     0.22%  ksoftirqd/3      [kernel.kallsyms]                        [k] get_page_from_freelist
     0.22%  iperf3           [kernel.kallsyms]                        [k] tcp_wfree
     0.22%  ksoftirqd/0      [kernel.kallsyms]                        [k] get_page_from_freelist
     0.22%  iperf3           [kernel.kallsyms]                        [k] do_select
     0.22%  ksoftirqd/0      [kernel.kallsyms]                        [k] build_skb
     0.21%  iperf3           [kernel.kallsyms]                        [k] nf_hook_slow
     0.21%  iperf3           [kernel.kallsyms]                        [k] tcp_mstamp_refresh
     0.21%  iperf3           [kernel.kallsyms]                        [k] skb_copy_bits
     0.21%  iperf3           [kernel.kallsyms]                        [k] tcp_event_data_recv
     0.20%  iperf3           [kernel.kallsyms]                        [k] __release_sock
     0.20%  ksoftirqd/0      [kernel.kallsyms]                        [k] __netif_receive_skb_core
     0.20%  ksoftirqd/3      [kernel.kallsyms]                        [k] build_skb
     0.19%  iperf3           [kernel.kallsyms]                        [k] free_unref_page_prepare.part.0
     0.19%  iperf3           [kernel.kallsyms]                        [k] nf_ct_get_tuple
     0.19%  iperf3           [kernel.kallsyms]                        [k] tcp_cleanup_rbuf
     0.18%  iperf3           [kernel.kallsyms]                        [k] inet6_csk_route_socket
     0.18%  ksoftirqd/0      [kernel.kallsyms]                        [k] ip6_protocol_deliver_rcu
     0.18%  ksoftirqd/3      [kernel.kallsyms]                        [k] __build_skb
     0.18%  ksoftirqd/1      [kernel.kallsyms]                        [k] ip6_rcv_finish_core.isra.0
     0.18%  ksoftirqd/0      [kernel.kallsyms]                        [k] __build_skb
     0.18%  iperf3           [kernel.kallsyms]                        [k] ksize
     0.18%  iperf3           [kernel.kallsyms]                        [k] selinux_ip_postroute
     0.18%  iperf3           [kernel.kallsyms]                        [k] tcp_ack
     0.18%  iperf3           [kernel.kallsyms]                        [k] hash_conntrack_raw
     0.18%  iperf3           [kernel.kallsyms]                        [k] __local_bh_enable_ip
     0.17%  ksoftirqd/2      [kernel.kallsyms]                        [k] veth_poll
     0.17%  ksoftirqd/0      [kernel.kallsyms]                        [k] skb_copy_bits
